,param_clf__selected_model,params,mean_fit_time,std_fit_time,mean_test_ba,std_test_ba,rank_test_ba,mean_test_ap,std_test_ap,rank_test_ap,mean_test_ra,std_test_ra,rank_test_ra,mean_test_F1,std_test_F1,rank_test_F1
4,"('rf', {'max_depth': 23, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 7, 'n_estimators': 20})","{'clf__selected_model': ('rf', {'max_depth': 23, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 7, 'n_estimators': 20})}",0.15677860577901204,0.025354498603603958,0.5037977156500207,0.009619751247417615,1,0.1138193643446876,0.014169669676151606,10,0.5949672127490705,0.03423611383379901,10,0.03169437070250666,0.03220702018314587,1
0,"('rf', {'max_depth': 23, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 200})","{'clf__selected_model': ('rf', {'max_depth': 23, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 200})}",0.9667974948883057,0.01953290264964937,0.5,0.0,2,0.11731504501602653,0.017648364384918278,8,0.6364829314169718,0.037459871836437286,7,0.0,0.0,2
1,"('rf', {'max_depth': 45, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 65})","{'clf__selected_model': ('rf', {'max_depth': 45, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 65})}",0.35798063278198244,0.018310250123172382,0.5,0.0,2,0.11842704672882509,0.01812308642678432,7,0.638004104432773,0.041157914426964017,6,0.0,0.0,2
2,"('rf', {'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 200})","{'clf__selected_model': ('rf', {'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 200})}",0.8139577706654867,0.02243362103487878,0.5,0.0,2,0.1271990580946059,0.031090407173976736,1,0.6433000747634231,0.0373177298988782,2,0.0,0.0,2
3,"('rf', {'max_depth': 23, 'max_features': 'auto', 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 65})","{'clf__selected_model': ('rf', {'max_depth': 23, 'max_features': 'auto', 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 65})}",0.3695090293884277,0.040230704611197265,0.5,0.0,2,0.12152751776780439,0.01971441480997253,4,0.6381913008187998,0.037681762416465626,5,0.0,0.0,2
5,"('rf', {'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 7, 'n_estimators': 20})","{'clf__selected_model': ('rf', {'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 7, 'n_estimators': 20})}",0.10431334177652994,0.012288865670925466,0.5,0.0,2,0.12429212197462486,0.020878249483823313,3,0.6434019660117851,0.02635156720366135,1,0.0,0.0,2
6,"('rf', {'max_depth': 45, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 4, 'n_estimators': 65})","{'clf__selected_model': ('rf', {'max_depth': 45, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 4, 'n_estimators': 65})}",0.34038187662760416,0.018752513995498838,0.5,0.0,2,0.11950572449059912,0.021495236931565798,6,0.6389552693102265,0.040406220865375285,4,0.0,0.0,2
7,"('rf', {'max_depth': 45, 'max_features': 'auto', 'min_samples_leaf': 10, 'min_samples_split': 4, 'n_estimators': 110})","{'clf__selected_model': ('rf', {'max_depth': 45, 'max_features': 'auto', 'min_samples_leaf': 10, 'min_samples_split': 4, 'n_estimators': 110})}",0.5347990036010742,0.014747006130996568,0.5,0.0,2,0.11609417317544465,0.021081263567342835,9,0.6359163412406985,0.03391904380964743,8,0.0,0.0,2
8,"('rf', {'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 3, 'n_estimators': 155})","{'clf__selected_model': ('rf', {'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 3, 'n_estimators': 155})}",0.6432066440582276,0.0357848140329517,0.5,0.0,2,0.12486337227515416,0.029492930514608995,2,0.6391999234376495,0.034623475178130754,3,0.0,0.0,2
9,"('rf', {'max_depth': 23, 'max_features': 'auto', 'min_samples_leaf': 5, 'min_samples_split': 6, 'n_estimators': 155})","{'clf__selected_model': ('rf', {'max_depth': 23, 'max_features': 'auto', 'min_samples_leaf': 5, 'min_samples_split': 6, 'n_estimators': 155})}",0.7459337711334229,0.06953209126860972,0.5,0.0,2,0.11967283415003202,0.020955581965409333,5,0.6355023001085833,0.034930205369569194,9,0.0,0.0,2
