,param_clf__selected_model,params,mean_fit_time,std_fit_time,mean_test_ba,std_test_ba,rank_test_ba,mean_test_ap,std_test_ap,rank_test_ap,mean_test_ra,std_test_ra,rank_test_ra,mean_test_F1,std_test_F1,rank_test_F1
0,"('rf', {'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 4, 'n_estimators': 110})","{'clf__selected_model': ('rf', {'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 4, 'n_estimators': 110})}",0.4067203203837077,0.022298358960089994,0.5,0.0,1,0.10913153434604965,0.018148930504557636,5,0.5014306999000595,0.05645285886948324,2,0.0,0.0,1
1,"('rf', {'max_depth': 23, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 9, 'n_estimators': 20})","{'clf__selected_model': ('rf', {'max_depth': 23, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 9, 'n_estimators': 20})}",0.09713470141092936,0.006072890385571873,0.5,0.0,1,0.10604122224619912,0.018735644018746486,7,0.48712465253658566,0.05792820480290382,9,0.0,0.0,1
2,"('rf', {'max_depth': 1, 'max_features': 'auto', 'min_samples_leaf': 5, 'min_samples_split': 7, 'n_estimators': 155})","{'clf__selected_model': ('rf', {'max_depth': 1, 'max_features': 'auto', 'min_samples_leaf': 5, 'min_samples_split': 7, 'n_estimators': 155})}",0.5847409248352051,0.03413653439023228,0.5,0.0,1,0.11564246066202703,0.023388261817854,1,0.5143614277003893,0.058010798187454665,1,0.0,0.0,1
3,"('rf', {'max_depth': 1, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 110})","{'clf__selected_model': ('rf', {'max_depth': 1, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 110})}",0.42759469350179036,0.027673885551312213,0.5,0.0,1,0.10933707131296391,0.02062713706544833,4,0.49291440660574587,0.06148064308382746,5,0.0,0.0,1
4,"('rf', {'max_depth': 23, 'max_features': 'auto', 'min_samples_leaf': 5, 'min_samples_split': 4, 'n_estimators': 200})","{'clf__selected_model': ('rf', {'max_depth': 23, 'max_features': 'auto', 'min_samples_leaf': 5, 'min_samples_split': 4, 'n_estimators': 200})}",0.8058860301971436,0.04060151887494221,0.5,0.0,1,0.10734160197807337,0.018643867320912708,6,0.4977183789368347,0.05480660254739815,3,0.0,0.0,1
5,"('rf', {'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 8, 'n_estimators': 155})","{'clf__selected_model': ('rf', {'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 8, 'n_estimators': 155})}",0.5993425528208415,0.04684670076692983,0.5,0.0,1,0.10961354552389106,0.019316991248526733,3,0.4932318548291165,0.05394099978299719,4,0.0,0.0,1
6,"('rf', {'max_depth': 23, 'max_features': 'auto', 'min_samples_leaf': 10, 'min_samples_split': 8, 'n_estimators': 20})","{'clf__selected_model': ('rf', {'max_depth': 23, 'max_features': 'auto', 'min_samples_leaf': 10, 'min_samples_split': 8, 'n_estimators': 20})}",0.09855585098266602,0.003204321636713191,0.5,0.0,1,0.11551843020842924,0.02512523083491184,2,0.49227953796658264,0.04661454787127183,6,0.0,0.0,1
7,"('rf', {'max_depth': 23, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 155})","{'clf__selected_model': ('rf', {'max_depth': 23, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 155})}",0.6534421284993489,0.022194851793379104,0.5,0.0,1,0.10168231518015267,0.014704210892709662,9,0.48682826391912964,0.05280375972738444,10,0.0,0.0,1
8,"('rf', {'max_depth': 45, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 200})","{'clf__selected_model': ('rf', {'max_depth': 45, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 200})}",0.8256481170654297,0.024543580465027543,0.5,0.0,1,0.10076756966370888,0.01393437489813313,10,0.48910987880283313,0.052214261030040135,8,0.0,0.0,1
9,"('rf', {'max_depth': 23, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 6, 'n_estimators': 65})","{'clf__selected_model': ('rf', {'max_depth': 23, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 6, 'n_estimators': 65})}",0.2635750929514567,0.03010034874925083,0.5,0.0,1,0.10566870455088237,0.01562654727060006,8,0.4910492967185389,0.04718897428195229,7,0.0,0.0,1
