,param_clf__selected_model,params,mean_fit_time,std_fit_time,mean_test_ba,std_test_ba,rank_test_ba,mean_test_ap,std_test_ap,rank_test_ap,mean_test_ra,std_test_ra,rank_test_ra,mean_test_F1,std_test_F1,rank_test_F1
9,"('eec', {'n_estimators': 25, 'replacement': False, 'warm_start': False})","{'clf__selected_model': ('eec', {'n_estimators': 25, 'replacement': False, 'warm_start': False})}",5.141489458084107,0.5640709007510295,0.6132244008714597,0.132679302116042,1,0.8325351759723782,0.07537220612996656,4,0.627037037037037,0.15440561326136912,6,0.6774176941585173,0.1348607117541305,1
4,"('eec', {'n_estimators': 25, 'replacement': False, 'warm_start': True})","{'clf__selected_model': ('eec', {'n_estimators': 25, 'replacement': False, 'warm_start': True})}",5.578376833597819,0.45358741789758783,0.6052723311546842,0.1293118640540128,2,0.8339456272071147,0.0742711789657095,3,0.6426797385620914,0.14572113947726345,1,0.657756374845299,0.1399325916108045,6
3,"('eec', {'n_estimators': 100, 'replacement': True, 'warm_start': True})","{'clf__selected_model': ('eec', {'n_estimators': 100, 'replacement': True, 'warm_start': True})}",21.09003732999166,0.52136468374786,0.6027668845315904,0.11927020374319054,3,0.8371605334525082,0.0698873933534962,1,0.6395860566448802,0.14104482619298314,2,0.6251756145089479,0.15559391641237913,8
5,"('eec', {'n_estimators': 50, 'replacement': True, 'warm_start': False})","{'clf__selected_model': ('eec', {'n_estimators': 50, 'replacement': True, 'warm_start': False})}",10.885550006230671,0.6578816803555436,0.600174291938998,0.11538912063764314,4,0.8314276931048181,0.06801318367331517,7,0.6272984749455337,0.13430118132701602,5,0.6044450093953161,0.14849494548860565,9
6,"('eec', {'n_estimators': 100, 'replacement': False, 'warm_start': True})","{'clf__selected_model': ('eec', {'n_estimators': 100, 'replacement': False, 'warm_start': True})}",22.38400802612305,0.6952348772673452,0.5990196078431373,0.13028462703538868,5,0.834987181820497,0.07641044593057177,2,0.6298692810457517,0.15595387570068106,3,0.6582754308703117,0.1366861626893419,5
2,"('eec', {'n_estimators': 50, 'replacement': False, 'warm_start': False})","{'clf__selected_model': ('eec', {'n_estimators': 50, 'replacement': False, 'warm_start': False})}",10.359402290980022,0.4197266376806277,0.5947494553376907,0.12971100867349192,6,0.8314488591302538,0.07683224301827991,6,0.6243355119825708,0.15218632344117847,8,0.6684748720017537,0.1328952408393907,2
0,"('eec', {'n_estimators': 10, 'replacement': False, 'warm_start': False})","{'clf__selected_model': ('eec', {'n_estimators': 10, 'replacement': False, 'warm_start': False})}",2.1367796421051026,0.12102715277433417,0.5915032679738561,0.1337195376446127,7,0.8272718638224412,0.08073905945764162,9,0.6246187363834423,0.1684689036392035,7,0.6596535579684631,0.14670005918223544,4
8,"('eec', {'n_estimators': 50, 'replacement': False, 'warm_start': True})","{'clf__selected_model': ('eec', {'n_estimators': 50, 'replacement': False, 'warm_start': True})}",10.71671814918518,0.45820923680210374,0.5908278867102398,0.14460841385196474,8,0.827191100034047,0.07654431871837274,10,0.6118300653594771,0.16054945916861663,10,0.6682872274005901,0.14919821128638608,3
1,"('eec', {'n_estimators': 10, 'replacement': False, 'warm_start': True})","{'clf__selected_model': ('eec', {'n_estimators': 10, 'replacement': False, 'warm_start': True})}",2.1545357863108316,0.11287339775359143,0.5832026143790848,0.13473576807566942,9,0.8293754778917742,0.06955699221322174,8,0.6172331154684098,0.14638910521756604,9,0.6387743459026385,0.1561783743939043,7
7,"('eec', {'n_estimators': 10, 'replacement': True, 'warm_start': False})","{'clf__selected_model': ('eec', {'n_estimators': 10, 'replacement': True, 'warm_start': False})}",2.355497185389201,0.24130358628543527,0.571372549019608,0.11025569733472075,10,0.8325160021794534,0.06407304523146977,5,0.6273856209150328,0.12477431746512535,4,0.5976274055394575,0.11701758497236542,10
